City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,sumbe,-11.2061,13.8437,20.61,88,99,4.33,AO,1724968259
311,baharly,38.4362,57.4316,23.18,24,0,2.62,TM,1724968261
312,fisterra,42.9049,-9.2629,18.69,82,0,9.04,ES,1724968262
313,kirensk,57.7853,108.1119,8.0,89,86,1.7,RU,1724968263
314,asheville,35.6009,-82.554,29.99,51,0,3.6,US,1724968093
315,hlevakha,50.2742,30.3271,24.47,31,39,2.64,UA,1724968265
316,san patricio,28.017,-97.5169,33.97,52,83,6.22,US,1724968266
317,shingu,33.7333,135.9833,26.36,94,99,2.21,JP,1724968267
318,nouadhibou,20.931,-17.0347,21.99,78,43,9.26,MR,1724968249
319,ola,59.5833,151.2833,9.69,86,100,8.29,RU,1724968269
320,lompoc,34.6391,-120.4579,22.3,74,0,5.66,US,1724968271
321,jambi city,-1.6,103.6167,24.11,71,100,1.07,ID,1724968272
322,san juan de miraflores,-12.1629,-76.9635,18.43,76,92,6.88,PE,1724968061
323,doctor alberto oviedo mota,32.2275,-115.1697,42.41,14,0,5.0,MX,1724968274
324,madimba,-10.4,40.3333,22.87,86,16,2.56,TZ,1724968275
325,susuman,62.7833,148.1667,6.2,89,100,0.67,RU,1724968276
326,tocopilla,-22.092,-70.1979,14.94,76,14,3.73,CL,1724968277
327,la tuque,47.4334,-72.7824,22.14,40,0,2.06,CA,1724968278
328,hammerfest,70.6634,23.6821,17.25,67,75,2.06,NO,1724968279
329,fedorovskiy,45.0972,40.9517,22.75,41,83,6.27,RU,1724968280
330,tidjikja,18.5564,-11.4271,33.28,50,25,8.25,MR,1724968282
331,novodvinsk,64.4165,40.8122,9.86,94,14,0.1,RU,1724968283
332,zeerust,-25.5369,26.0751,9.93,17,0,2.61,ZA,1724968284
333,dul'durga,50.6761,113.5931,8.15,88,0,1.41,RU,1724968285
334,aljezur,37.3191,-8.8033,16.65,96,69,6.13,PT,1724968286
335,zheshart,62.0731,49.5733,12.1,97,100,2.77,RU,1724968287
336,hede,33.7681,120.2517,22.46,91,0,1.57,CN,1724968288
337,akureyri,65.6835,-18.0878,8.96,81,0,1.03,IS,1724968289
338,labytnangi,66.6572,66.4183,8.46,68,84,3.57,RU,1724968290
339,palu,-0.8917,119.8707,24.02,97,100,0.16,ID,1724968291
340,aksu,41.1231,80.2644,20.34,62,100,2.23,CN,1724968293
341,alatyr',54.8421,46.5813,14.18,74,11,0.93,RU,1724968294
342,shache,38.4167,77.2406,19.87,76,98,1.27,CN,1724968295
343,detroit lakes,46.8172,-95.8453,24.03,69,75,5.66,US,1724968287
344,lewistown,40.5992,-77.5714,28.67,74,75,0.0,US,1724968297
345,vila velha,-20.3297,-40.2925,22.97,72,0,3.09,BR,1724968298
346,carutapera,-1.195,-46.02,25.97,79,6,3.98,BR,1724968299
347,mount gambier,-37.8333,140.7667,11.39,70,0,6.5,AU,1724968300
